Company Name,Job Title,Salary,Min salary,Max salary,Fourchette
CPAM,Data Engineer - Mensuel,2k -3k,2k,3k,2371 - 2567 Fourchette
Volvo Group,Data Engineer,37k -40k,37k,40k,36607 - 40189 Fourchette
LCL,Data Engineer,48k -53k,48k,53k,48211 - 52921 Fourchette
Synapse Medicine,Data Engineer,44k -48k,44k,48k,44030 - 48495 Fourchette
Orness,Data Engineer,45k -49k,45k,49k,44544 - 48996 Fourchette
Octo Consulting Group,Data Engineer,54k -58k,54k,58k,53725 - 58124 Fourchette
Skeepers,Data Engineer,43k -47k,43k,47k,43158 - 47097 Fourchette
IBM,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1374 - 1490 Fourchette
Crédit Agricole,Data Engineer - Contrat temporaire,43k -46k,43k,46k,43118 - 46328 Fourchette
TheFork,Data Engineer,43k -46k,43k,46k,43033 - 46170 Fourchette
Adot,Data Engineer,52k -57k,52k,57k,52351 - 56942 Fourchette
Factonics,Data Engineer,42k -46k,42k,46k,41978 - 45713 Fourchette
Clemessy,Data Engineer - Stagiaire horaire,4 -4,4,4,4 - 4 Fourchette
Wabtec,Data Engineer,65k -71k,65k,71k,65470 - 70756 Fourchette
Luxurynsight,Data Engineer,40k -43k,40k,43k,40177 - 43180 Fourchette
Groupe Asten,Data Engineer,31k -33k,31k,33k,30989 - 33114 Fourchette
abcsalles.com,Data Engineer - Stagiaire mensuel,2k -2k,2k,2k,1508 - 1642 Fourchette
Otoqi,Data Engineer,38k -42k,38k,42k,38297 - 41984 Fourchette
Palantir Technologies,Data Engineer,52k -56k,52k,56k,51539 - 56490 Fourchette
Schneider Electric,Data Engineer - Mensuel,2k -3k,2k,3k,2295 - 2524 Fourchette
Adéquation Entreprises,Data Engineer,42k -45k,42k,45k,41852 - 44923 Fourchette
Black Tiger,Data Engineer,41k -44k,41k,44k,41130 - 44265 Fourchette
Hivency,Data Engineer,51k -55k,51k,55k,51124 - 55084 Fourchette
Elbussinnes,Data Engineer,38k -42k,38k,42k,38376 - 41751 Fourchette
GHF Capital,Data Engineer,41k -45k,41k,45k,41244 - 45229 Fourchette
Zenika,Data Engineer,41k -44k,41k,44k,41073 - 44490 Fourchette
Libeo (France),Data Engineer,60k -65k,60k,65k,59820 - 64654 Fourchette
Inria,Data Engineer,41k -45k,41k,45k,41252 - 45268 Fourchette
Qatar Petroleum,Data Engineer,39k -41k,39k,41k,38651 - 41494 Fourchette
ADEO,Data Engineer,46k -49k,46k,49k,45701 - 49427 Fourchette
Lansrod,Data Engineer,44k -47k,44k,47k,44138 - 47376 Fourchette
Ministère de la Défense,Data Engineer,40k -43k,40k,43k,40176 - 42940 Fourchette
Excelerate Systems,Data Engineer,36k -40k,36k,40k,36491 - 40091 Fourchette
marionnaud,Data Engineer - Stagiaire,19k -20k,19k,20k,18509 - 19903 Fourchette
DataRisk,Data Engineer,54k -59k,54k,59k,54375 - 58702 Fourchette
Data4Risk,Data Engineer,55k -59k,55k,59k,54908 - 59435 Fourchette
Mirakl,Data Engineer,59k -64k,59k,64k,59051 - 63844 Fourchette
Bureau Veritas,Data Engineer - Stagiaire mensuel,2k -2k,2k,2k,1538 - 1677 Fourchette
Hays,Data Engineer,56k -62k,56k,62k,56455 - 61701 Fourchette
Schneider Electric,Data Engineer - Mensuel,1k -2k,1k,2k,1486 - 1627 Fourchette
DSI Group,Data Engineer,38k -41k,38k,41k,37632 - 41083 Fourchette
bial-r,Data Engineer,42k -45k,42k,45k,42088 - 45397 Fourchette
Wedoogift,Data Engineer,42k -46k,42k,46k,42156 - 45590 Fourchette
Pharnext,Data Engineer,56k -60k,56k,60k,56191 - 59949 Fourchette
Datasoft Systems,Data Engineer,50k -54k,50k,54k,49612 - 53873 Fourchette
Chethan's Charters- GD FEA Employer,Data Engineer,55k -59k,55k,59k,54679 - 58788 Fourchette
Zango,Data Engineer,45k -49k,45k,49k,44942 - 48949 Fourchette
Nones,Data Engineer,42k -45k,42k,45k,41808 - 45219 Fourchette
BFM Group,Data Engineer,50k -55k,50k,55k,50357 - 54849 Fourchette
Assurly,Data Engineer - Stagiaire horaire,4 -4,4,4,4 - 4 Fourchette
Outscale,Data Engineer,46k -50k,46k,50k,46009 - 50391 Fourchette
Air France,Data Engineer,21k -23k,21k,23k,21259 - 23270 Fourchette
Brico Privé,Data Engineer,37k -40k,37k,40k,36767 - 39717 Fourchette
ITNOVEM.,Data Engineer,62k -67k,62k,67k,61535 - 66531 Fourchette
Vectaury,Data Engineer,46k -50k,46k,50k,45950 - 49691 Fourchette
Pretty Simple,Data Engineer,51k -55k,51k,55k,50692 - 55081 Fourchette
EDF,Data Engineer - Mensuel,964 -1k,964,1k,964 - 1047 Fourchette
Liebherr Group,Data Engineer,45k -49k,45k,49k,44746 - 48540 Fourchette
Keyrus,Data Engineer,43k -46k,43k,46k,42819 - 46040 Fourchette
Ebiznext,Data Engineer,68k -74k,68k,74k,67586 - 73836 Fourchette
Amayas Consulting,Data Engineer,49k$US -53k$US,49k$US,53k$US,48962$US - 52815$US Fourchette
DXC Technology,Data Engineer,48k -52k,48k,52k,48279 - 51952 Fourchette
Numberly (1000mercis group),Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1059 - 1160 Fourchette
42c,Data Engineer,45k -48k,45k,48k,44517 - 47592 Fourchette
ASI,Data Engineer,33k -35k,33k,35k,32600 - 35243 Fourchette
Airbus,Data Engineer,97k -105k,97k,105k,97300 - 105195 Fourchette
Jeppiaar,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1196 - 1304 Fourchette
NetDevices,Data Engineer,45k -49k,45k,49k,44738 - 48795 Fourchette
Health Data Hub,Data Engineer,40k -43k,40k,43k,39902 - 43095 Fourchette
RTE - Le Réseau de Transport d'Electricité,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1197 - 1280 Fourchette
Plastic Omnium,Data Engineer - Mensuel,1k -1k,1k,1k,1342 - 1425 Fourchette
LISEA,Data Engineer,46k -50k,46k,50k,46199 - 49782 Fourchette
Inbox Business Technologies,Data Engineer,40k -42k,40k,42k,39556 - 42189 Fourchette
Disneyland Paris,Data Engineer,16k -18k,16k,18k,15973 - 17538 Fourchette
UPMC,Data Engineer,40k -44k,40k,44k,40198 - 43686 Fourchette
Hurence,Data Engineer,47k -51k,47k,51k,46835 - 51299 Fourchette
Essilor,Data Engineer,46k -49k,46k,49k,45742 - 49351 Fourchette
Infotel,Data Engineer,29k -31k,29k,31k,28944 - 31421 Fourchette
Digital Dimension (France),Data Engineer,59k -64k,59k,64k,58861 - 63754 Fourchette
Energisme,Data Engineer,40k -44k,40k,44k,40125 - 43684 Fourchette
Mixdata,Data Engineer,49k -53k,49k,53k,49142 - 53136 Fourchette
Lyreco,Data Engineer,17k -18k,17k,18k,16820 - 18426 Fourchette
